object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Dessin,"plume, bistre, et rehaussé de blanc",28,,,,,,,
Dessin,"plume, lavé au bistre, et rehaussé de blanc",28,,,,,,,
Painting,canvas laid down on panel,28,,,,,,,
Painting,water color,28,,,,,,,
Sculpture,bronze & bronze doré,28,,,,,,,
Sculpture,pierre,28,,,,,,,
Dessin,"à la plume & au bistre, rehaussé de blanc",27,,,,,,,
Dessin,à la plume & lavé à l'encre de la Chine,27,,,,,,,
Dessin,crayon noir & blanc sur papier gris,27,,,,,,,
Dessin,plume sur papier,27,,,,,,,
Drawing,in pencil,27,,,,,,,
Gemälde,auf Kupfer oder Elfenbein,27,,,,,,,
Gemälde,Ol auf Leinwand,27,,,,,,,
Painting,"in oil, on copper",27,,,,,,,
Peinture,huile sur papier,27,,,,,,,
Peinture,toile sur bois,27,,,,,,,
Sculpture,in metal,27,,,,,,,
Zeichnung,"Aquarell, Tusche",27,,,,,,,
Zeichnung,"Blei, Tuschpinsel",27,,,,,,,
Zeichnung,"Tinte, Tusche",27,,,,,,,
ZEICHNUNG,Bleistift,27,,,,,,,
Decorative arts,,26,,,,,,,
Dessin,à l'huile,26,,,,,,,
Dessin,à la plume et au bistre,26,,,,,,,
Dessin,"à la sanguine, sur papier blanc",26,,,,,,,
Dessin,au bistre & à la plume,26,,,,,,,
Drawing,in red and black chalk,26,,,,,,,
Miniature,on ivory,26,,,,,,,
Painting,distemper,26,,,,,,,
skulptur,,26,,,,,,,
Zeichnung,"Blei, Pinsel",26,,,,,,,
Zeichnung,Gouache auf Pergament,26,,,,,,,
Dessin,à la gouache,25,,,,,,,
Dessin,plume & colorié,25,,,,,,,
Dessin,"plume, encre de chine, colorié",25,,,,,,,
Dessin,"plume, encre de chine, sanguine",25,,,,,,,
Miniatur,auf Holz,25,,,,,,,
Miniatur,Öl auf Leinwand,25,,,,,,,
Painting,grisaille,25,,,,,,,
Painting; Drawing,,25,,,,,,,
Peinture,sur papier collé sur toile,25,,,,,,,
Skulptur,Cartapesta,25,,,,,,,
Skulptur,Terracotta,25,,,,,,,
Zeichnung,"Kohle, Tuschpinsel",25,,,,,,,
Zeichnung,Pastell auf Papier,25,,,,,,,
Zeichnung,"Tinte, Bleistift",25,,,,,,,
Dessin,à la pierre noire rehaussée de blanc,24,,,,,,,
Dessin,craion rouge,24,,,,,,,
Dessin,crayons noir & blanc sur papier bleu,24,,,,,,,
Dessin,encre de Chine et bistre,24,,,,,,,
Dessin,fusin,24,,,,,,,
Dessin,plume et lavis d'encre de Chine,24,,,,,,,
Drawing,"in pen and bister, heightened",24,,,,,,,
Miniature,on copper,24,,,,,,,
Painting,on cloth,24,,,,,,,
Peinture,papier collé sur toile,24,,,,,,,
Peinture,sur bois [ou[ sur cuivre [ou] sur toile,24,,,,,,,
Zeichnung,Pinsel auf Papier,24,,,,,,,
Dessin,crayon noir et blanc sur papier,23,,,,,,,
Dessin,encre de Chine sur papier blanc,23,,,,,,,
Dessin,"plume, lavé au bistre",23,,,,,,,
Dessin,"plume, lavé, et rehaussé de blanc",23,,,,,,,
Gemalde,auf Holz,23,,,,,,,
Gemälde,Öl auf Papier auf Leinwand,23,,,,,,,
Miniatur,Bleistift,23,,,,,,,
Painting,on agate,23,,,,,,,
Painting,on lapis lazuli,23,,,,,,,
Peinture,huile sur toile,23,,,,,,,
Sculpture,[marbre],23,,,,,,,
Skulptur,Zinn,23,,,,,,,
Zeichnung,"Aquarell, Blei",23,,,,,,,
Dessin,à la pierre noire & à la sanguine,22,,,,,,,
Dessin,à la plume & à la sanguine,22,,,,,,,
Dessin,à la plume & lavés à l'encre de Chine,22,,,,,,,
Dessin,bistre et encre de Chine,22,,,,,,,
Dessin,colorié sur papier blanc,22,,,,,,,
Dessin,lavé,22,,,,,,,
Dessin,"Pierre noire ou fusain, sur papier teinté de rouge",22,,,,,,,
Drawing,gouache,22,,,,,,,
Painting,"Öl, auf Pappe",22,,,,,,,
Painting,on cardboard,22,,,,,,,
Sculpture,påte des Indes,22,,,,,,,
Sculpture,terre des Indes,22,,,,,,,
Zeichnung,Bronze,22,,,,,,,
Zeichnung,"Kohle, Aquarell",22,,,,,,,
Dessin,à la plume & au bistre sur papier blanc,21,,,,,,,
Dessin,"à la plume, sur papier blanc",21,,,,,,,
Dessin,dessins colorés,21,,,,,,,
Dessin,mine de plomb sur papier blanc,21,,,,,,,
Dessin,pastel sur papier bleu,21,,,,,,,
Dessin,pierre noire rehaussée de blanc sur papier gris,21,,,,,,,
Dessin,plume et lavis à l'encre de Chine,21,,,,,,,
Dessin,"plume, encre de chine, crayon noir, sanguine",21,,,,,,,
Gemälde,Öl auf  Leinwand,21,,,,,,,
Sculpture,in clay,21,,,,,,,
Sculpture,pâte des Indes,21,,,,,,,
Zeichnung,"Aquarell, Kohle",21,,,,,,,
Zeichnung,"Bleistift, Kohle",21,,,,,,,
Zeichnung,Kreide; Tinte,21,,,,,,,
Zeichnung,Öl auf Pappe,21,,,,,,,
Dessin,à la plume & colorié,20,,,,,,,
Dessin,"crayon noir & blanc, sur papier bleu",20,,,,,,,
Dessin,crayons noir & blanc sur papier gris,20,,,,,,,
Dessin,lavé à l'encre de Chine,20,,,,,,,
Dessin,lavis d'encre de chine,20,,,,,,,
Dessin,plume & bistre sur papier blanc,20,,,,,,,
Gemälde,auf Goldgrund,20,,,,,,,
Gemälde,auf Malkarton,20,,,,,,,
Gemälde,auf Stein,20,,,,,,,
Painting,in encaustic,20,,,,,,,
Peinture,sur bois [ou] sur cuivre,20,,,,,,,
Sculpture,plomb,20,,,,,,,
Zeichnung,Aquarell.,20,,,,,,,
Zeichnung,"Tusche, Sepia",20,,,,,,,
Dessin,lavis,19,,,,,,,
Dessin,lavis de couleur,19,,,,,,,
Dessin,mine de plomb sur velin,19,,,,,,,
Dessin,pierre noire sur vélin,19,,,,,,,
Dessin,plume et lavis de bistre,19,,,,,,,
Dessin,plume lavée de bistre,19,,,,,,,
Drawing,in colors,19,,,,,,,
Mosaic,,19,,,,,,,
Painting,[on canvas],19,,,,,,,
Painting,auf Papier,19,,,,,,,
Painting,"in oil, on canvas",19,,,,,,,
Painting,unframed,19,,,,,,,
Peinture,sur toile colée sur bois,19,,,,,,,
Sculpture,in porphyry,19,,,,,,,
Zeichnung,"Aquarell, Sepia",19,,,,,,,
Zeichnung,"Feder, Kreide",19,,,,,,,
Dessin,à la pierre noire & au bistre,18,,,,,,,
Dessin,à la plume & lavés au bistre,18,,,,,,,
Dessin,à la plume et au crayon,18,,,,,,,
Dessin,"à la plume, lavé à l'encre de la Chine",18,,,,,,,
Dessin,"à la plume, lavé d'encre",18,,,,,,,
Dessin,bistre & rehauts de blanc,18,,,,,,,
Dessin,crayons noir et blanc sur papier bleu,18,,,,,,,
Dessin,lavé à l'encre de la Chine sur papier blanc,18,,,,,,,
Dessin,lavé en couleurs,18,,,,,,,
Dessin,pierre d'Italie,18,,,,,,,
Dessin,pierre noire rehaussée de blanc sur papier bleu,18,,,,,,,
Dessin,"plume et bistre, sur papier blanc",18,,,,,,,
Dessin,"plume et lavis bistre, sur papier blanc",18,,,,,,,
Dessin,plume sur vélin,18,,,,,,,
Drawing,crayons,18,,,,,,,
Drawing,in black lead,18,,,,,,,
Drawing,in pen & Indian ink,18,,,,,,,
Gemälde,Öl auf Papier oder Pappe,18,,,,,,,
Miniatur,Email auf Kupfer,18,,,,,,,
Miniatur,Öl auf Karton,18,,,,,,,
Mosaïque,,18,,,,,,,
Painting,on canvas pasted on panel,18,,,,,,,
Painting,on panel with frame,18,,,,,,,
Peinture,"sur bois, sur cuivre ou sur toile",18,,,,,,,
Sculpture,en marbre blanc,18,,,,,,,
Sculpture,on marble,18,,,,,,,
Zeichnung,auf Karton,18,,,,,,,
Zeichnung,Buntstift,18,,,,,,,
Zeichnung,"Kohle, Pinsel",18,,,,,,,
Zeichnung,Sepia auf Papier,18,,,,,,,
Zeichnung,tinte,18,,,,,,,
Zeichnung,Tusch,18,,,,,,,
Dessin,à l'encre de Chine,17,,,,,,,
Dessin,à la plume et bistre,17,,,,,,,
Dessin,"à la plume, au bistre & rehaussé de blanc",17,,,,,,,
Dessin,Bistre,17,,,,,,,
Dessin,bistre & plume,17,,,,,,,
Dessin,crayon noir sur papier gris,17,,,,,,,
Dessin,encre de chine & bistre,17,,,,,,,
Dessin,plume et lavis gris,17,,,,,,,
Dessin,rehaussé de blanc,17,,,,,,,
Dessin,sanguine & bistre,17,,,,,,,
Dessin,trois crayons et pastel,17,,,,,,,
Miniatur,Öl auf Blech,17,,,,,,,
Miniature,on vellum,17,,,,,,,
Miniature,sur vélin cartonné,17,,,,,,,
Painting,op glas,17,,,,,,,
Painting,sur vélin,17,,,,,,,
Peinture,sur toile marouflée,17,,,,,,,
Peinture,sur toile marouflée sur bois,17,,,,,,,
Sculpture,cuivre doré,17,,,,,,,
Sculpture,en pierre,17,,,,,,,
Sculpture,en terre cuite,17,,,,,,,
Sculpture,pierres de rapport,17,,,,,,,
Sculpture,platre ou talc,17,,,,,,,
Sculpture,stuc,17,,,,,,,
Zeichnung,"Bleistift, Sepia",17,,,,,,,
Zeichnung,Gouache auf Karton,17,,,,,,,
Zeichnung,"Kreide, Bleistift",17,,,,,,,
Zeichnung,"Kreide, Feder",17,,,,,,,
Zeichnung,"Rötel, Feder",17,,,,,,,
Zeichnung,"Tusche, Bleistift",17,,,,,,,
ZEICHNUNG,Aquarell,17,,,,,,,
Dessin,à l'encre de la Chine & au bistre,16,,,,,,,
Dessin,"à la pierre noire, rehaussée de blanc",16,,,,,,,
Dessin,à la plume et lavé,16,,,,,,,
Dessin,"à la plume, lavé de bistre & rehaussé de blanc",16,,,,,,,
Dessin,bistre et rehaussé de blanc,16,,,,,,,
Dessin,crayon rouge & noir,16,,,,,,,
Dessin,dessins coloriés,16,,,,,,,
Dessin,deux crayons,16,,,,,,,
Dessin,pierre noire et sanguine,16,,,,,,,
Dessin,"plume, encre de chine, bistre, blanc",16,,,,,,,
Dessin,"plume, sur papier blanc",16,,,,,,,
Dessin,sanguine et pierre noire,16,,,,,,,
Dessin,sanguine et rehauts de blanc,16,,,,,,,
Dessin,trois crayons sur papier bleu,16,,,,,,,
Drawing,on oil paper,16,,,,,,,
Gemälde,auf Alabaster,16,,,,,,,
Gemälde,auf HÖlz,16,,,,,,,
Gemälde,Pergament,16,,,,,,,
Miniatur,Aquarell auf Papier,16,,,,,,,
Painting,i olja,16,,,,,,,
Painting,sur marbre,16,,,,,,,
Peinture,papier collé sur bois,16,,,,,,,
Peinture,sur bois [ou] sur toile [ou] sur cuivre,16,,,,,,,
Peinture,sur papier collé sur bois,16,,,,,,,
Peinture,sur vélin,16,,,,,,,
Sculpture,cuivre,16,,,,,,,
Skulptur,"Bronze, Marmor",16,,,,,,,
Zeichnung,"Kreide, Pinsel",16,,,,,,,
Zeichnung,"Tusche, Aquarell",16,,,,,,,
Dessin,à gouache,15,,,,,,,
Dessin,à la plume & lavé à l'encre,15,,,,,,,
Dessin,à la plume & lavé à l'encre de Chine,15,,,,,,,
Dessin,crayon noir et blanc sur papier bleu,15,,,,,,,
Dessin,lavé de bistre sur papier blanc,15,,,,,,,
Dessin,"pierre noire, sur papier blanc",15,,,,,,,
Dessin,pinceau,15,,,,,,,
Dessin,plume & lavis de couleur,15,,,,,,,
Dessin,"plume, bistre",15,,,,,,,
Gemälde,auf P.,15,,,,,,,
Gemälde,Email,15,,,,,,,
Gemälde,Öl auf Pergament,15,,,,,,,
Gemälde,Öl auf Stein,15,,,,,,,
Miniatur,auf Email,15,,,,,,,
Painting,on canvas / on panel,15,,,,,,,
Painting,sur papier,15,,,,,,,
Painting,Sur Toile,15,,,,,,,
Peinture,grisaille,15,,,,,,,
Peinture,huile sur bois,15,,,,,,,
Sculpture,bronze avec socle d'ébénisterie & bronze doré,15,,,,,,,
Sculpture,buis,15,,,,,,,
Skulptur,Gelbguß,15,,,,,,,
Zeichnung,"Blei, Feder, Tusche",15,,,,,,,
Zeichnung,"Kohle, Bleistift",15,,,,,,,
Zeichnung,Tinte; Kreide,15,,,,,,,
Zeichnung,"Tusche, Blei",15,,,,,,,
ZEICHNUNG,Pastell,15,,,,,,,
Dessin,"à la sanguine, rehaussé de blanc",14,,,,,,,
Dessin,"aux crayons noir & blanc, sur papier bleu",14,,,,,,,
Dessin,aux crayons noir & rouge,14,,,,,,,
Dessin,"crayon noir et blanc, sur papier bleu",14,,,,,,,
Dessin,crayons noir et blanc,14,,,,,,,
Dessin,encre de la chine,14,,,,,,,
Dessin,lavés au bistre,14,,,,,,,
Dessin,lavis en couleurs,14,,,,,,,
Dessin,pierre noire sur papier gris,14,,,,,,,
Dessin,plume & au bistre,14,,,,,,,
Drawing,"in bister, heightened",14,,,,,,,
Gemalde,auf Malpappe,14,,,,,,,
Gemälde,Aquarell auf Pappe oder Papier,14,,,,,,,
Gemälde,Öl auf Leinwand auf Holz,14,,,,,,,
Gemälde,Öl auf Marmor,14,,,,,,,
Miniatur,Öl auf Metall,14,,,,,,,
Miniatur,Papier,14,,,,,,,
Painting,à l'huile,14,,,,,,,
Painting,on iron,14,,,,,,,
Peinture,marbre,14,,,,,,,
Peinture,sur bois ou sur cuivre ou sur toile,14,,,,,,,
Peinture,sur toile sur bois,14,,,,,,,
Peinture,toile,14,,,,,,,
Sculpture,marbre noir,14,,,,,,,
Sculpture,verre,14,,,,,,,
Dessin,à la pierre noire rehaussé de blanc,13,,,,,,,
Dessin,à la plume & au bistre rehaussé de blanc,13,,,,,,,
Dessin,à la plume & coloriés,13,,,,,,,
Dessin,à la plume et lavé au bistre,13,,,,,,,
Dessin,"à la plume, lavé à l'encre",13,,,,,,,
Dessin,au lavis d'encre de la Chine,13,,,,,,,
Dessin,bistre & pierre noire,13,,,,,,,
Dessin,crayon noir & rouge,13,,,,,,,
Dessin,crayon noir et sanguine,13,,,,,,,
Dessin,"crayon noir, sanguine, plume, bistre",13,,,,,,,
Dessin,crayons,13,,,,,,,
Dessin,"crayons noir & blanc, sur papier bleu",13,,,,,,,
Dessin,"en un vol. petit in-folio, relié en veau",13,,,,,,,
Dessin,grisaille,13,,,,,,,
Dessin,pierre d'Italie sur papier blanc,13,,,,,,,
Dessin,pierre noire & lavis d'encre de chine,13,,,,,,,
Dessin,pierre noire et crayon blanc sur papier,13,,,,,,,
Dessin,pierre noire et lavé,13,,,,,,,
Dessin,pierre noire et rehaussé de blanc sur papier,13,,,,,,,
Dessin,plume & coloriés,13,,,,,,,
Dessin,"plume, sanguine",13,,,,,,,
Dessin,sanguine rehaussé de blanc,13,,,,,,,
Dessin,sanguine sur papier gris,13,,,,,,,
Drawing,in crayons,13,,,,,,,
Gemalde,,13,,,,,,,
Gemälde,Öl auf Elfenbein,13,,,,,,,
Miniatur,Aquarell auf Karton,13,,,,,,,
Miniatur,Aquarell auf Pergament,13,,,,,,,
Miniatur,auf Metall,13,,,,,,,
Miniature; Dessin,,13,,,,,,,
Painting,auf Elfenbein,13,,,,,,,
Painting,in Olieverf op paneel,13,,,,,,,
Painting,in turpentine,13,,,,,,,
Painting,on china,13,,,,,,,
Painting,on velvet,13,,,,,,,
Peinture,huile ou gouache,13,,,,,,,
Peinture,sur bois et sur toile,13,,,,,,,
Peinture,sur porcelaine,13,,,,,,,
Skulptur,Fayence,13,,,,,,,
Skulptur,Knochen,13,,,,,,,
Zeichnung,"Blei, Kreide",13,,,,,,,
Zeichnung,Farbstifte,13,,,,,,,
Zeichnung,"Feder, Bister",13,,,,,,,
Zeichnung,"Gouache, Aquarell",13,,,,,,,
Zeichnung,Öl auf Holz,13,,,,,,,
Zeichnung,Pastell auf Pergament,13,,,,,,,
Zeichnung,"Sepia, Feder",13,,,,,,,
Dessin,"à la plume & au bistre, sur papier blanc",12,,,,,,,
Dessin,à la plume et coloré,12,,,,,,,
Dessin,"à la plume, lavé & rehaussé de blanc",12,,,,,,,
Dessin,"à la plume, lavés au bistre",12,,,,,,,
Dessin,à la sanguine & à la pierre noire,12,,,,,,,
Dessin,au crayon noir & blanc sur papier gris,12,,,,,,,
Dessin,bistre sur papier,12,,,,,,,
Dessin,crayon noir et rehauts de blanc,12,,,,,,,
Dessin,"crayon noir, sur papier blanc",12,,,,,,,
Dessin,gouache sur velin,12,,,,,,,
Dessin,lavé et coloré,12,,,,,,,
Dessin,papier blanc,12,,,,,,,
Dessin,pierre noire rehaussé de blanc,12,,,,,,,
Dessin,"pierre noire, rehaussé de blanc sur papier bleu",12,,,,,,,
Dessin,plume et lavé d'encre,12,,,,,,,
Dessin,plume rehaussé de blanc,12,,,,,,,
Dessin,"plume, lavé et rehaussé de blanc",12,,,,,,,
Dessin,sanguine et bistre,12,,,,,,,
Drawing,in chalk and ink,12,,,,,,,
Drawing,in distemper,12,,,,,,,
Gemälde,auf Schiefer,12,,,,,,,
Gemälde,Bleistift,12,,,,,,,
Gemälde,Bleistift auf Glas,12,,,,,,,
Gemälde,"Öl, Grisaille auf Leinwand",12,,,,,,,
Gemälde,Schmelzfarben auf Glas,12,,,,,,,
Miniatur,auf Velin,12,,,,,,,
Miniature,sur velin,12,,,,,,,
Painting,in olyverf op koper,12,,,,,,,
Painting,on paper / on panel,12,,,,,,,
Painting,Sur Bois,12,,,,,,,
Peinture,bois,12,,,,,,,
Peinture,sur argent,12,,,,,,,
Peinture,sur marbre blanc,12,,,,,,,
Sculpture,or,12,,,,,,,
Sculpture,Terre cuite,12,,,,,,,
Sculpture,yvoire,12,,,,,,,
Skulptur,Bisquit,12,,,,,,,
Skulptur,Steinzeug,12,,,,,,,
Zeichnung,"Blei, Sepia",12,,,,,,,
Zeichnung,Feder auf Pergament,12,,,,,,,
Zeichnung,"Sepia, Aquarell",12,,,,,,,
Zeichnung,"Sepia, Pinsel",12,,,,,,,
Zeichnung,"Sepia, Tusche",12,,,,,,,
Zeichnung,Sepiatusche,12,,,,,,,
Dessin,à l'aquarelle,11,,,,,,,
Dessin,à la plume et lavé de bistre sur papier blanc,11,,,,,,,
Dessin,"à la plume, & lavé",11,,,,,,,
Dessin,"à la plume, & lavés",11,,,,,,,
Dessin,"à la plume, & lavés au bistre",11,,,,,,,
Dessin,"à la plume, lavé à l'encre & au bistre",11,,,,,,,
Dessin,"à la plume, lavé d'encre & de bistre",11,,,,,,,
Dessin,à la sanguine estompée,11,,,,,,,
Dessin,au bistre & pierre noire,11,,,,,,,
Dessin,au lavis,11,,,,,,,
Dessin,"aux crayons noir & blanc, sur papier gris",11,,,,,,,
Dessin,encre de la Chine sur papier blanc,11,,,,,,,
Dessin,fusin sur papier blanc,11,,,,,,,
Dessin,Pierre noire rehaussée de blanc sur papier gris,11,,,,,,,
Dessin,plume [ou] sanguine,11,,,,,,,
Dessin,"plume & au bistre, sur papier blanc",11,,,,,,,
Dessin,plume & couleur,11,,,,,,,
Dessin,plume et encre de Chine sur papier blanc,11,,,,,,,
Dessin,"plume, lavé & rehaussé de blanc",11,,,,,,,
Dessin,"plume, lavé au bistre, rehaussé de blanc",11,,,,,,,
Dessin,"plume, lavé d'encre de chine.",11,,,,,,,
Dessin,sanguine et crayon blanc,11,,,,,,,
Dessin,sur bois,11,,,,,,,
Dessin,trois crayons sur papier blanc,11,,,,,,,
Dessin,"trois crayons, sur papier gris",11,,,,,,,
Drawing,in black chalk and bister,11,,,,,,,
Drawing,in chalk and bister,11,,,,,,,
Drawing,in colour,11,,,,,,,
Drawing,in Indian ink,11,,,,,,,
Drawing,"in pen and bister on blue paper, heightened",11,,,,,,,
Drawing,in pen and chalk,11,,,,,,,
Drawing,stained,11,,,,,,,
Émail,sur or,11,,,,,,,
Gemälde,Kreide,11,,,,,,,
Gemälde,Kupfer,11,,,,,,,
Gemälde,Ol auf Holz,11,,,,,,,
Gemälde,Öltempera,11,,,,,,,
GEMÄLDE,Öl auf Kupfer,11,,,,,,,
Miniature,sur ivoire,11,,,,,,,
Painting,canvas on panel,11,,,,,,,
Painting,on pasteboard,11,,,,,,,
Painting,op mahoniehout paneel,11,,,,,,,
Peinture,aquarelle,11,,,,,,,
Peinture,grisaille sur toile,11,,,,,,,
Peinture,sur coutil,11,,,,,,,
Peinture ou Dessin,,11,,,,,,,
Sculpture,en bois,11,,,,,,,
Sculpture,in gesso; in terracotta,11,,,,,,,
Sculpture,terre cuite sur pied d'albâtre orné de bronze doré,11,,,,,,,
Skulptur,"Elfenbein, Holz",11,,,,,,,
Skulptur,Porzellan,11,,,,,,,
Skulptur,Speckstein,11,,,,,,,
Zeichnung,"Aquarell, Deckfarben",11,,,,,,,
Zeichnung,auf Elfenbein,11,,,,,,,
Zeichnung,auf Pappe,11,,,,,,,
Zeichnung,"Kohle, Kreide auf Papier",11,,,,,,,
Zeichnung,"Kohle, Rötel",11,,,,,,,
Dessin,à la pierre noire & au pastel sur papier bleu,10,,,,,,,
Dessin,"à la plume, & lavé de bistre",10,,,,,,,
Dessin,"à la plume, lavé de bistre sur papier blanc",10,,,,,,,
Dessin,Aquarelle,10,,,,,,,
Dessin,au bistre & à la sanguine,10,,,,,,,
Dessin,au crayon noir rehaussé de blanc,10,,,,,,,
Dessin,bistre & encre de Chine,10,,,,,,,
Dessin,bistre & sanguine,10,,,,,,,
Dessin,coloré sur papier,10,,,,,,,
Dessin,"crayon noir, lavé de bistre",10,,,,,,,
Dessin,"crayon noir, sanguine, plume, encre de chine",10,,,,,,,
Dessin,dessin coloré,10,,,,,,,
Dessin,encre et bistre,10,,,,,,,
Dessin,pierre noire et rehaussé de blanc,10,,,,,,,
Dessin,plume & lavé sur papier blanc,10,,,,,,,
Dessin,plume & lavis d'encre,10,,,,,,,
Dessin,plume à l'encre de Chine,10,,,,,,,
Dessin,plume et lavé à l'encre de Chine,10,,,,,,,
Dessin,plume et lavé à l'encre de la chine,10,,,,,,,
Dessin,plume et lavé de bistre sur papier,10,,,,,,,
Dessin,plume et lavé sur papier,10,,,,,,,
Dessin,plume sur velin,10,,,,,,,
Dessin,"plume, bistre, encre de chine",10,,,,,,,
Dessin,sanguine et crayon noir,10,,,,,,,
Dessin,sanguine rehaussée de blanc,10,,,,,,,
Dessin,trois crayons sur papier,10,,,,,,,
Drawing,in black chalk and india ink,10,,,,,,,
Drawing,in pen & ink,10,,,,,,,
Drawing,in watercolour on vellum,10,,,,,,,
Email,,10,,,,,,,
Émail,émail,10,,,,,,,
Gemälde,Öl auf  Holz,10,,,,,,,
Miniatur,Kupferemail,10,,,,,,,
Miniature,huile,10,,,,,,,
Painting,[on panel?],10,,,,,,,
Painting,[on panel] [?],10,,,,,,,
Peinture,encaustique,10,,,,,,,
Peinture,toile sans chassis,10,,,,,,,
sculpture,in bronze,10,,,,,,,
Sculpture,ivory,10,,,,,,,
